Muni Code,Entity Name,County,Class Description,Fiscal Year End Date,Months in Fiscal Period,Enrollment,Full Value,Debt Outstanding,Real Property Taxes,Special Assessments,Star Payments,Payments in Lieu of Taxes,Gain from Sale of Tax Acquired Property,Interest & Penalties,Miscellaneous Tax Items,Sales Tax,Sales Tax Distribution,Utilities Gross Receipts Tax,Miscellaneous Use Taxes,Franchises,Emergency Telephone System Surcharge,City Income Tax,Miscellaneous Non-Property Taxes,General Government Fees,Education Fees,Public Safety Fees,Health Fees,Transportation Fees,Social Service Fees,Economic Development Fees,Culture and Recreation Fees,Community Services Fees,Utility Fees,Sanitation Fees,Miscellaneous Fees,General Government Charges,Education Charges,Public Safety Charges,Health Charges,Transportation Charges,Social Services Charges,Culture and Recreation Charges,Community Services Charges,Utility Charges,Sanitation Charges,Debt Service Charges,Miscellaneous Intergovernmental Charges,Interest and Earnings,Rental of Property,Sale of Property,Fines,Forfeitures,Compensation for Loss,Library Grants from Local Governments,Miscellaneous Grants from Local Governments,Gifts,Employee Contributions,Miscellaneous Revenues,,State Aid - General Government,State Aid - Education,State Aid - Health,State Aid - Public Safety,State Aid - Transportation,State Aid - Social Services,State Aid - Economic Development,State Aid - Culture and Recreation,State Aid - Community Services,State Aid - Utilities,State Aid - Sanitation,Unrestricted State Aid,Miscellaneous State Aid,Mortgage Tax,Federal Aid - General Government,Federal Aid - Education,Federal Aid - Public Safety,Federal Aid - Health,Federal Aid - Transportation,Federal Aid - Social Services,Federal Aid - Economic Development,Federal Aid - Culture and Recreation,Federal Aid - Community Services,Federal Aid - Utilities,Federal Aid - Sanitation,Miscellaneous Federal Aid,,Sale of Obligations,BANS Redeemed from Appropriations,Miscellaneous Debt Proceeds,Transfers,Miscellaneous Other Sources,,Operations,Administration,County Distribution of Sales Tax,Miscellaneous General Government,Zoning and Planning,Judgements,Instruction,Instructional Support,Pupil Services,Education - Transportation,Student Activities,Community College,Miscellaneous Education,Public Safety Administration,Police,Fire Protection,Emergency Response,Correctional Services,Disaster Response,Homeland Security and Civil Defense,Miscellaneous Public Safety,Public Health Administration,Public Health Services,Mental Health Services,Environmental Services,Public Health Facilities,Miscellaneous Public Health,Highways,Highway Services to Other Govts,Bus Service,Airports,Rail Service,Waterways,Transportation Facilities,Transportation Ancillary,Miscellaneous Transportation,Public Facilities,Miscellaneous Social Services,Social Service Administration,Financial Assistance,Medicaid,Non-Medicaid Medical Assistance,Housing Assistance,Employment Services,Youth Services,Economic Development Administration,Development Infrastructure,Promotion,Economic Development Grants,Miscellaneous Economic Development,Recreation Services,Adult Recreation,Youth Recreation,Library,Miscellaneous Cultural and Recreation,Cultural Services,Constituent Services,Elder Services,Natural Resources,Student Census,Miscellaneous Community Services,Water,Electricity,Natural Gas,Steam,Sewer,Storm Sewer,Refuse and Garbage,Landfill Closures,Drainage,Miscellaneous Sanitation,Retirement - State/Local,Retirement - Police & Fire,Retirement - Teacher,LOSAP / Miscellaneous,Social Security,Medical Insurance,Disability Insurance,Life Insurance,Worker's Compensation,Unemployment Insurance,Union Benefits Program,Unclassified Employee Benefits,Debt Principal,Interest on Debt,,Transfers
040701100100,Allegany-Limestone Central School District,Cattaraugus,Central,06/30/2018,12,1116,430586729,12450000,6026672,0,1356241,155590,0,12442,0,0,0,0,0,0,0,0,0,0,3271,0,0,0,0,0,0,0,0,0,6845,0,0,0,0,0,0,0,0,0,0,0,0,17350,3235,187586,0,0,7919,0,0,300,0,434258,8211709,0,15652136,0,0,0,0,0,0,0,0,0,0,0,0,0,525129,0,0,0,320015,0,0,0,0,0,0,24708989,0,0,0,4101000,0,28809989,1957056,903063,0,35145,0,0,11498771,1624199,699743,1229481,236940,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315516,0,685808,0,732655,1767198,0,0,83581,0,43783,60343,2165000,525845,24565065,4101000
350700600200,Altmar-Parish-Williamstown Central School District,Oswego,Central,06/30/2018,12,1169,404633937,16595000,4992663,0,1075099,376977,0,28967,0,0,0,0,0,0,0,0,0,0,28711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93647,27605,178050,0,0,935,0,0,4139,0,577251,7384044,0,24808652,0,0,0,0,0,0,0,0,0,0,0,0,0,1034796,0,0,0,688013,0,0,0,0,0,0,33915505,465000,0,0,350000,0,34730505,4017409,985066,0,0,0,0,14825690,1015582,596875,2279841,416586,0,3525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456417,0,998118,0,911957,3914032,0,3711,202460,7323,0,158237,3410000,883684,35086513,350000
470925000300,Amagansett Union Free School District,Suffolk,Union Free,06/30/2018,12,71,5416003684,0,9273227,0,25858,51930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9852,0,0,0,0,0,0,0,0,0,64954,9425821,0,374741,0,0,0,0,0,0,0,0,0,0,0,0,0,24276,0,0,0,0,0,0,0,0,0,0,9824838,0,0,0,609257,0,10434095,822063,935959,0,0,0,0,5607278,184761,183700,191846,160976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,0,0,0,0,0,0,0,0,0,0,0,146422,0,285143,0,341995,1068758,22250,0,12296,3790,0,0,0,0,9968265,609257
140601900100,Amherst Central School District,Erie,Independent Superintendent,06/30/2018,12,2823,1826020396,33363269,30265635,0,4634749,278598,0,41209,0,0,3446018,0,0,0,0,0,0,0,621869,0,0,0,0,0,0,0,0,0,9862,0,0,0,532626,0,0,0,0,0,0,0,0,39921,17057,444761,0,0,24339,0,0,45700,0,881911,41284255,0,16488622,0,0,0,0,0,0,0,0,0,0,0,0,0,1290271,0,0,0,1216005,0,0,0,0,0,0,60279153,3635000,0,0,1322948,0,65237101,4898830,1175249,0,0,0,25689,29900330,2367651,2385660,3576813,892967,0,83573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802342,0,2253065,0,2147450,6847695,0,17645,218837,12549,0,610996,2542872,1214132,61974345,1322948
470604600600,Amityville Union Free School District,Suffolk,Independent Superintendent,06/30/2018,12,2941,2695442619,42961092,50340323,0,6457033,1431492,0,0,0,0,0,0,0,0,0,0,0,0,398230,0,0,0,0,0,0,0,0,0,0,0,0,0,87725,0,0,0,0,0,0,0,0,561178,665,169152,0,0,0,0,0,4589,0,544804,59995191,0,27636425,0,0,0,0,0,0,0,0,0,0,0,0,0,2027495,0,0,0,1578567,0,0,0,0,0,0,91237678,0,0,0,439409,0,91677087,8818838,1962824,0,0,0,0,48813560,3615581,2784643,7276262,835658,0,4400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923682,0,3147784,0,3094048,7755953,28673,18183,857212,37583,0,22180,1813455,716415,92541997,439410
270502000000,Amsterdam City School District,Montgomery,City Public School,06/30/2018,12,3560,1033237745,66355000,16814091,0,3927188,2294937,0,177347,0,0,0,0,0,0,0,0,0,0,24351,0,0,0,0,0,0,0,0,0,12067,0,0,0,28959,0,0,0,0,0,0,0,0,1854921,124370,90231,0,585690,12832,0,0,106499,0,1587815,27641298,84336,50113881,0,0,0,0,0,0,0,0,0,0,0,0,0,3421279,15334,0,0,2108112,0,0,0,0,0,0,83384240,11065000,0,0,319513,0,94768753,8813284,1414528,0,46426,0,0,38481006,2994800,1059210,4103898,540150,0,9100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528012,0,2187657,0,2058459,11313707,0,1000,243590,25699,0,1568489,5859670,1659178,82907863,319513
120702300200,Andes Central School District,Delaware,Central,06/30/2018,12,81,400274634,906000,2771885,0,120639,0,0,7999,0,0,0,0,0,0,0,0,0,0,29599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2465,2650,0,15203,0,0,775,0,0,14146,0,79517,3044878,0,1024891,0,0,0,0,0,0,0,0,0,0,0,0,0,152226,0,0,0,24960,0,0,0,0,0,0,4246955,30000,0,0,218743,0,4495698,461752,314998,0,0,0,0,1859530,209423,93132,282353,40970,0,11405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46008,0,120475,0,135315,508999,0,0,13792,-1934,0,10501,91360,40775,4238854,218743
020702400100,Andover Central School District,Allegany,Central,06/30/2018,12,302,107808648,2255000,2057690,0,484143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,0,0,0,0,0,205523,3000,51885,0,0,0,0,0,4542,0,161577,2969125,0,6144448,0,0,0,0,0,0,0,0,0,0,0,0,0,523628,0,0,0,172585,0,0,0,0,0,0,9809786,1435000,0,0,220632,0,11465418,1297757,610431,0,0,0,0,4247403,419142,303577,649925,146557,0,3950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129152,0,263457,0,277349,800068,0,0,27291,0,0,41261,805000,99105,10121425,220632
550634200500,Ardsley Union Free School District,Westchester,Independent Superintendent,06/30/2018,12,2216,2342209969,25298139,47574541,0,5258069,3531,0,0,0,0,547706,0,0,0,0,0,0,0,2745695,0,0,0,0,0,0,0,0,0,672676,0,0,0,18840,317877,0,0,0,0,0,0,67517,340234,60422,588815,0,0,0,0,0,107568,0,371249,58674740,0,7619861,0,0,0,0,0,0,0,0,0,0,0,0,0,486258,0,0,0,166449,0,0,0,0,0,0,66947308,0,0,0,4913312,0,71860620,4410116,1540065,0,8087,0,281071,32873410,2259810,2990739,2104978,1260393,0,8600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662718,0,2515897,0,2538621,6532698,3132,8439,222172,4691,472896,138574,3787537,843217,66000685,4913312
530703000100,Argyle Central School District,Washington,Central,06/30/2018,12,493,287278647,7595155,4043973,0,676027,0,0,12952,0,0,0,0,0,0,0,0,0,0,103328,0,0,0,0,0,0,0,0,0,10435,0,0,0,0,10304,0,0,0,0,0,0,0,88849,1065,90389,0,0,3572,0,0,1203,0,252316,5294413,0,6933470,0,0,0,0,0,0,0,0,0,0,0,0,0,301279,0,0,0,165244,0,0,0,0,0,0,12694406,0,0,0,140342,0,12834748,1431873,391780,0,0,0,0,6296723,671255,181060,741704,132751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246023,0,394094,0,355030,1943386,63386,0,50205,0,0,91398,34976,73384,13099028,140342
460740400100,Arkport Central School District,Steuben,Central,06/30/2018,12,446,166585738,8130000,2803495,0,699786,21500,0,9193,0,0,0,0,0,0,0,0,0,0,55754,0,0,0,0,0,0,0,0,0,3,0,0,0,0,20904,0,8747,0,0,0,0,0,4606,1000,23260,0,0,81107,0,0,640,0,97670,3827665,0,6400091,0,0,0,0,0,0,0,0,0,0,0,0,0,199782,0,0,0,26285,0,0,0,0,0,0,10453823,6300000,0,0,100000,0,16853823,813755,572785,0,0,0,0,4936216,555393,307595,569653,259156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177213,0,347329,0,318273,919128,600,3129,63528,0,2259,131259,380000,177387,10534658,100000
130668600100,Arlington Central School District,Dutchess,Independent Superintendent,06/30/2018,12,8144,5365416384,90321291,122674450,0,13774141,104294,0,44570,0,0,0,0,0,0,0,0,0,0,1057763,0,0,0,0,0,0,0,0,0,8345,0,0,0,898187,4180,0,0,0,0,0,0,0,174263,663945,2279027,0,0,7623,0,0,648068,0,1124129,143462985,0,61699695,0,0,0,0,0,0,0,0,0,0,0,0,0,3071957,32164,0,0,1072471,0,0,0,0,0,0,209339272,0,2235300,0,2905168,0,214479740,12485576,2768617,0,52894,0,0,95053102,7435179,6778384,13129838,1168067,0,464239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2994561,0,7393582,0,7359933,33617816,0,45050,1568872,13745,0,3053764,10951085,3718718,210053022,2905168
560603700100,Attica Central School District,Wyoming,Independent Superintendent,06/30/2018,12,1215,629898506,2605000,8331975,0,1730032,142472,0,18444,0,0,0,0,0,0,0,0,0,0,586437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53819,4204,153530,0,0,174,0,0,9223,0,251212,11281522,0,15888291,0,0,0,0,0,0,0,0,0,0,0,0,0,610451,0,0,0,336344,0,0,0,0,0,0,28116608,25000,0,0,139375,0,28280983,3506361,780412,0,548,0,0,12757565,797730,698511,1671039,418656,0,7812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,0,0,0,0,0,0,0,0,0,0,0,308605,0,945779,0,880755,3811435,4410,4221,135875,3077,0,27863,549000,71685,27382435,139376
050503000000,Auburn City School District,Cayuga,City Public School,06/30/2018,12,4136,1640964992,35003020,26191296,0,4590531,496971,0,103098,0,0,0,0,0,0,0,0,0,0,153931,0,0,0,0,0,0,0,0,0,33274,0,0,0,41952,0,0,0,0,0,0,0,0,12998,82927,159044,0,0,52921,0,0,55236,0,2501738,34475917,0,43936321,0,0,0,0,0,0,0,0,0,0,0,0,0,3442121,0,0,0,1632805,0,0,0,0,0,0,83487164,1745000,0,0,322516,0,85554680,9857607,1488603,0,83912,0,0,43596953,3981038,1266971,2630569,729020,0,8197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611922,0,2439110,0,2426475,12510061,0,3572,368136,16208,0,889996,2957253,1384109,87249712,342517
