CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,CLASS_DESCRIPTION,COUNTY,FISCAL_YEAR_END,ACCOUNT_CODE,ACCOUNT_CODE_NARRATIVE,FINANCIAL_STATEMENT,FINANCIAL_STATEMENT_SEGMENT,LEVEL_1_CATEGORY,LEVEL_2_CATEGORY,OBJECT_OF_EXPENDITURE,AMOUNT,SNAPSHOT_DATE
1998,010201000000,City of Albany,City,Albany,12/31,A13152,"Comptroller, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,3685,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A13154,"Comptroller, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,17169,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A13158,"Comptroller, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,46996,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A13251,"Treasurer, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,370621,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A13252,"Treasurer, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,4139,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A13254,"Treasurer, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,25372,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A13258,"Treasurer, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,97262,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A13451,"Purchasing, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,107764,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A13452,"Purchasing, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,8914,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A13454,"Purchasing, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,8198,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A13458,"Purchasing, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,24343,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A13504,"Brd of Con & Supply, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,426,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A13551,"Assessment, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,207838,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A13554,"Assessment, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,130523,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A13558,"Assessment, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,48918,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14101,"Clerk,pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,128522,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14102,"Clerk,equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,2866,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14104,"Clerk,contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,7699,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14108,"Clerk,empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,28947,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14201,"Law, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,366219,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14202,"Law, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,5275,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14204,"Law, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,301132,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14208,"Law, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,61734,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14301,"Personnel, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,171901,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14304,"Personnel, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,32491,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14308,"Personnel, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,119924,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14401,"Engineer, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,299845,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14404,"Engineer, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,698250,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14408,"Engineer, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,74991,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14501,"Elections, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,42669,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14504,"Elections, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,154616,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14508,"Elections, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,4830,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14901,"Public Works Admin, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Personal Services,568115,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14902,"Public Works Admin, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Equipment and Capital Outlay,714,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14904,"Public Works Admin, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,74860,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A14908,"Public Works Admin, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,144711,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1520,"Police Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,PUBLIC SAFETY FEES,,3285,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1540,"Fire Inspection Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,PUBLIC SAFETY FEES,,5764,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1560,"Safety Inspection Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,PUBLIC SAFETY FEES,,219225,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1589,"Other Public Safety Departmental Income",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,PUBLIC SAFETY FEES,,257071,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1603,"Vital Statistics Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,HEALTH FEES,,209597,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A16201,"Operation of Plant, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Personal Services,855556,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A16202,"Operation of Plant, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Equipment and Capital Outlay,11371,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A16204,"Operation of Plant, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,813862,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A16208,"Operation of Plant, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,193470,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A16401,"Central Garage Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Personal Services,138812,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A16402,"Central Garage Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Equipment and Capital Outlay,19581,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A16404,"Central Garage Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,1506629,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A16408,"Central Garage Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,31156,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A16601,"Central Storeroom Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Personal Services,34161,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A16602,"Central Storeroom Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Equipment and Capital Outlay,1990,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A16604,"Central Storeroom Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,63869,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A16608,"Central Storeroom Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,10455,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A16704,"Central Print & Mail Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,85703,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A16801,"Central Data Process Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Personal Services,195009,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A16802,"Central Data Process & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Equipment and Capital Outlay,70006,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A16804,"Central Data Process, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,102167,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A16808,"Central Data Process, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,25202,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1710,"Public Works Charges",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,COMMUNITY SERVICES FEES,,97601,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1750,"Bus Operations",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,TRANSPORTATION FEES,,903,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1789,"Other Transportation Departmental Income",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,TRANSPORTATION FEES,,68733,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A19104,"Unallocated Insurance, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,488158,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A19304,"Judgements And Claims, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,JUDGEMENTS,Contractual,408174,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A19504,"Taxes & Assess On Munic Prop, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,11887,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A19894,"Other General Govt Support, Contract Exp",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,91027,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A200,"Cash",BALANCE SHEET,CURRENT ASSETS,,,,3935164,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A201,"Cash In Time Deposits",BALANCE SHEET,CURRENT ASSETS,,,,500000,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A2012,"Recreational Concessions",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,CULTURE AND RECREATION FEES,,46557,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A2025,"Special Recreational Facility Charges",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,CULTURE AND RECREATION FEES,,632634,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A2089,"Other Culture & Recreation Income",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,CULTURE AND RECREATION FEES,,29842,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A210,"Petty Cash",BALANCE SHEET,CURRENT ASSETS,,,,5307,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A2110,"Zoning Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,COMMUNITY SERVICES FEES,,15027,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A2115,"Planning Board Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,COMMUNITY SERVICES FEES,,7185,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A2130,"Refuse & Garbage Charges",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SANITATION FEES,,2312471,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A230,"Cash Special Reserves",BALANCE SHEET,CURRENT ASSETS,,,,1712474,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A2376,"Refuse & Garbage Serv Other Govts",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES TO OTHER GOVERNMENTS,SANITATION CHARGES,,2588912,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A2389,"Misc Revenue, Other Govts",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES TO OTHER GOVERNMENTS,MISCELLANEOUS INTERGOVERNMENTAL CHARGES,,149740,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A2392,"Debt Service, Other Govts",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES TO OTHER GOVERNMENTS,DEBT SERVICE CHARGES,,466865,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A2401,"Interest And Earnings",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,INTEREST AND EARNINGS,,1462087,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A2410,"Rental of Real Property",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,RENTAL OF PROPERTY,,96245,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A2450,"Commissions",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,SALE OF PROPERTY,,14770,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A250,"Taxes Receivable, Current",BALANCE SHEET,CURRENT ASSETS,,,,3394801,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A2545,"Licenses, Other",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,244595,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A2590,"Permits, Other",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,COMMUNITY SERVICES FEES,,590217,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A2610,"Fines And Forfeited Bail",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,FINES,,2740551,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A2626,"Forfeiture of Crime Prceeds Restricted",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,FORFEITURES,,73180,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A2650,"Sales of Scrap & Excess Materials",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,SALE OF PROPERTY,,10101,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A2655,"Sales, Other",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,SALE OF PROPERTY,,209,2023-12-29
